Véhicule,Norme EURO,Mois,KM parcourus,Émissions CO2 (kg)
HYUNDAI MEX  43179-A-11,EURO 4,9,0,
HYUNDAI MEX  43179-A-11,EURO 4,10,0,
HYUNDAI MEX  43179-A-11,EURO 4,11,0,
HYUNDAI MEX  43179-A-11,EURO 4,12,0,
HYUNDAI MEX  43178-A-11,EURO 4,1,2209,536.787
HYUNDAI MEX  43178-A-11,EURO 4,2,0,
HYUNDAI MEX  43178-A-11,EURO 4,3,0,
HYUNDAI MEX  43178-A-11,EURO 4,4,0,
HYUNDAI MEX  43178-A-11,EURO 4,5,0,
HYUNDAI MEX  43178-A-11,EURO 4,6,0,
HYUNDAI MEX  43178-A-11,EURO 4,7,0,
HYUNDAI MEX  43178-A-11,EURO 4,8,0,
HYUNDAI MEX  43178-A-11,EURO 4,9,0,
HYUNDAI MEX  43178-A-11,EURO 4,10,0,
HYUNDAI MEX  43178-A-11,EURO 4,11,0,
HYUNDAI MEX  43178-A-11,EURO 4,12,0,
FORD MEX 43909-A-11,EURO 5,1,4182,782.034
FORD MEX 43909-A-11,EURO 5,2,0,
FORD MEX 43909-A-11,EURO 5,3,0,
FORD MEX 43909-A-11,EURO 5,4,0,
FORD MEX 43909-A-11,EURO 5,5,0,
FORD MEX 43909-A-11,EURO 5,6,0,
FORD MEX 43909-A-11,EURO 5,7,0,
FORD MEX 43909-A-11,EURO 5,8,0,
FORD MEX 43909-A-11,EURO 5,9,0,
FORD MEX 43909-A-11,EURO 5,10,0,
FORD MEX 43909-A-11,EURO 5,11,0,
FORD MEX 43909-A-11,EURO 5,12,0,
HYUNDAI MEX  44113-A-11,EURO 4,1,7997,1943.271
HYUNDAI MEX  44113-A-11,EURO 4,2,0,
HYUNDAI MEX  44113-A-11,EURO 4,3,0,
HYUNDAI MEX  44113-A-11,EURO 4,4,0,
HYUNDAI MEX  44113-A-11,EURO 4,5,0,
HYUNDAI MEX  44113-A-11,EURO 4,6,0,
HYUNDAI MEX  44113-A-11,EURO 4,7,0,
HYUNDAI MEX  44113-A-11,EURO 4,8,0,
HYUNDAI MEX  44113-A-11,EURO 4,9,0,
HYUNDAI MEX  44113-A-11,EURO 4,10,0,
HYUNDAI MEX  44113-A-11,EURO 4,11,0,
HYUNDAI MEX  44113-A-11,EURO 4,12,0,
HYUNDAI MEX  44112-A-11,EURO 4,1,7385,1794.555
HYUNDAI MEX  44112-A-11,EURO 4,2,0,
HYUNDAI MEX  44112-A-11,EURO 4,3,0,
HYUNDAI MEX  44112-A-11,EURO 4,4,0,
HYUNDAI MEX  44112-A-11,EURO 4,5,0,
HYUNDAI MEX  44112-A-11,EURO 4,6,0,
HYUNDAI MEX  44112-A-11,EURO 4,7,0,
HYUNDAI MEX  44112-A-11,EURO 4,8,0,
HYUNDAI MEX  44112-A-11,EURO 4,9,0,
HYUNDAI MEX  44112-A-11,EURO 4,10,0,
HYUNDAI MEX  44112-A-11,EURO 4,11,0,
HYUNDAI MEX  44112-A-11,EURO 4,12,0,
HYUNDAI MEX  45032-A-11,EURO 4,1,5670,1377.81
HYUNDAI MEX  45032-A-11,EURO 4,2,0,
HYUNDAI MEX  45032-A-11,EURO 4,3,0,
HYUNDAI MEX  45032-A-11,EURO 4,4,0,
HYUNDAI MEX  45032-A-11,EURO 4,5,0,
HYUNDAI MEX  45032-A-11,EURO 4,6,0,
HYUNDAI MEX  45032-A-11,EURO 4,7,0,
HYUNDAI MEX  45032-A-11,EURO 4,8,0,
HYUNDAI MEX  45032-A-11,EURO 4,9,0,
HYUNDAI MEX  45032-A-11,EURO 4,10,0,
HYUNDAI MEX  45032-A-11,EURO 4,11,0,
HYUNDAI MEX  45032-A-11,EURO 4,12,0,
HYUNDAI MEX  45031-A-11,EURO 4,1,6951,1689.093
HYUNDAI MEX  45031-A-11,EURO 4,2,0,
HYUNDAI MEX  45031-A-11,EURO 4,3,0,
HYUNDAI MEX  45031-A-11,EURO 4,4,0,
HYUNDAI MEX  45031-A-11,EURO 4,5,0,
HYUNDAI MEX  45031-A-11,EURO 4,6,0,
HYUNDAI MEX  45031-A-11,EURO 4,7,0,
HYUNDAI MEX  45031-A-11,EURO 4,8,0,
HYUNDAI MEX  45031-A-11,EURO 4,9,0,
HYUNDAI MEX  45031-A-11,EURO 4,10,0,
HYUNDAI MEX  45031-A-11,EURO 4,11,0,
HYUNDAI MEX  45031-A-11,EURO 4,12,0,
FORD MEX 45543-A-11,EURO 5,1,6224,1163.888
FORD MEX 45543-A-11,EURO 5,2,0,
FORD MEX 45543-A-11,EURO 5,3,0,
FORD MEX 45543-A-11,EURO 5,4,0,
FORD MEX 45543-A-11,EURO 5,5,0,
FORD MEX 45543-A-11,EURO 5,6,0,
FORD MEX 45543-A-11,EURO 5,7,0,
FORD MEX 45543-A-11,EURO 5,8,0,
FORD MEX 45543-A-11,EURO 5,9,0,
FORD MEX 45543-A-11,EURO 5,10,0,
FORD MEX 45543-A-11,EURO 5,11,0,
FORD MEX 45543-A-11,EURO 5,12,0,
FORD MEX 45544-A-11,EURO 5,1,8920,1668.04
FORD MEX 45544-A-11,EURO 5,2,0,
FORD MEX 45544-A-11,EURO 5,3,0,
FORD MEX 45544-A-11,EURO 5,4,0,
FORD MEX 45544-A-11,EURO 5,5,0,
FORD MEX 45544-A-11,EURO 5,6,0,
FORD MEX 45544-A-11,EURO 5,7,0,
FORD MEX 45544-A-11,EURO 5,8,0,
FORD MEX 45544-A-11,EURO 5,9,0,
FORD MEX 45544-A-11,EURO 5,10,0,
FORD MEX 45544-A-11,EURO 5,11,0,
FORD MEX 45544-A-11,EURO 5,12,0,
FORD MEX 45719-A-11,EURO 5,1,6720,1256.64
FORD MEX 45719-A-11,EURO 5,2,0,
FORD MEX 45719-A-11,EURO 5,3,0,
FORD MEX 45719-A-11,EURO 5,4,0,
FORD MEX 45719-A-11,EURO 5,5,0,
FORD MEX 45719-A-11,EURO 5,6,0,
FORD MEX 45719-A-11,EURO 5,7,0,
FORD MEX 45719-A-11,EURO 5,8,0,
FORD MEX 45719-A-11,EURO 5,9,0,
FORD MEX 45719-A-11,EURO 5,10,0,
FORD MEX 45719-A-11,EURO 5,11,0,
FORD MEX 45719-A-11,EURO 5,12,0,
HYUNDAI MEX  46245-A-11,EURO 4,1,6255,1519.965
HYUNDAI MEX  46245-A-11,EURO 4,2,0,
HYUNDAI MEX  46245-A-11,EURO 4,3,0,
HYUNDAI MEX  46245-A-11,EURO 4,4,0,
HYUNDAI MEX  46245-A-11,EURO 4,5,0,
HYUNDAI MEX  46245-A-11,EURO 4,6,0,
HYUNDAI MEX  46245-A-11,EURO 4,7,0,
HYUNDAI MEX  46245-A-11,EURO 4,8,0,
HYUNDAI MEX  46245-A-11,EURO 4,9,0,
HYUNDAI MEX  46245-A-11,EURO 4,10,0,
HYUNDAI MEX  46245-A-11,EURO 4,11,0,
HYUNDAI MEX  46245-A-11,EURO 4,12,0,
FORD MEX 46825-A-11,EURO 5,1,7681,1436.347
FORD MEX 46825-A-11,EURO 5,2,0,
FORD MEX 46825-A-11,EURO 5,3,0,
FORD MEX 46825-A-11,EURO 5,4,0,
FORD MEX 46825-A-11,EURO 5,5,0,
FORD MEX 46825-A-11,EURO 5,6,0,
FORD MEX 46825-A-11,EURO 5,7,0,
FORD MEX 46825-A-11,EURO 5,8,0,
FORD MEX 46825-A-11,EURO 5,9,0,
FORD MEX 46825-A-11,EURO 5,10,0,
FORD MEX 46825-A-11,EURO 5,11,0,
FORD MEX 46825-A-11,EURO 5,12,0,
FORD MEX 47132-A-11,EURO 5,1,7681,1436.347
FORD MEX 47132-A-11,EURO 5,2,0,
FORD MEX 47132-A-11,EURO 5,3,0,
FORD MEX 47132-A-11,EURO 5,4,0,
FORD MEX 47132-A-11,EURO 5,5,0,
FORD MEX 47132-A-11,EURO 5,6,0,
FORD MEX 47132-A-11,EURO 5,7,0,
FORD MEX 47132-A-11,EURO 5,8,0,
FORD MEX 47132-A-11,EURO 5,9,0,
FORD MEX 47132-A-11,EURO 5,10,0,
FORD MEX 47132-A-11,EURO 5,11,0,
FORD MEX 47132-A-11,EURO 5,12,0,
HYUNDAI MEX  47416-A-11,EURO 4,1,3293,800.199
HYUNDAI MEX  47416-A-11,EURO 4,2,0,
HYUNDAI MEX  47416-A-11,EURO 4,3,0,
HYUNDAI MEX  47416-A-11,EURO 4,4,0,
HYUNDAI MEX  47416-A-11,EURO 4,5,0,
HYUNDAI MEX  47416-A-11,EURO 4,6,0,
HYUNDAI MEX  47416-A-11,EURO 4,7,0,
HYUNDAI MEX  47416-A-11,EURO 4,8,0,
HYUNDAI MEX  47416-A-11,EURO 4,9,0,
HYUNDAI MEX  47416-A-11,EURO 4,10,0,
HYUNDAI MEX  47416-A-11,EURO 4,11,0,
HYUNDAI MEX  47416-A-11,EURO 4,12,0,
FORD MEX 47453-A-11,EURO 5,1,7681,1436.347
FORD MEX 47453-A-11,EURO 5,2,0,
FORD MEX 47453-A-11,EURO 5,3,0,
FORD MEX 47453-A-11,EURO 5,4,0,
FORD MEX 47453-A-11,EURO 5,5,0,
FORD MEX 47453-A-11,EURO 5,6,0,
FORD MEX 47453-A-11,EURO 5,7,0,
FORD MEX 47453-A-11,EURO 5,8,0,
FORD MEX 47453-A-11,EURO 5,9,0,
FORD MEX 47453-A-11,EURO 5,10,0,
FORD MEX 47453-A-11,EURO 5,11,0,
FORD MEX 47453-A-11,EURO 5,12,0,
FORD MEX 47454-A-11,EURO 5,1,4810,899.47
FORD MEX 47454-A-11,EURO 5,2,0,
FORD MEX 47454-A-11,EURO 5,3,0,
FORD MEX 47454-A-11,EURO 5,4,0,
FORD MEX 47454-A-11,EURO 5,5,0,
FORD MEX 47454-A-11,EURO 5,6,0,
FORD MEX 47454-A-11,EURO 5,7,0,
FORD MEX 47454-A-11,EURO 5,8,0,
FORD MEX 47454-A-11,EURO 5,9,0,
FORD MEX 47454-A-11,EURO 5,10,0,
FORD MEX 47454-A-11,EURO 5,11,0,
FORD MEX 47454-A-11,EURO 5,12,0,
FORD MEX 47451-A-11,EURO 5,1,6224,1163.888
FORD MEX 47451-A-11,EURO 5,2,0,
FORD MEX 47451-A-11,EURO 5,3,0,
FORD MEX 47451-A-11,EURO 5,4,0,
FORD MEX 47451-A-11,EURO 5,5,0,
FORD MEX 47451-A-11,EURO 5,6,0,
FORD MEX 47451-A-11,EURO 5,7,0,
FORD MEX 47451-A-11,EURO 5,8,0,
FORD MEX 47451-A-11,EURO 5,9,0,
FORD MEX 47451-A-11,EURO 5,10,0,
FORD MEX 47451-A-11,EURO 5,11,0,
FORD MEX 47451-A-11,EURO 5,12,0,
FORD MEX 47452-A-11,EURO 5,1,6220,1163.14
FORD MEX 47452-A-11,EURO 5,2,0,
FORD MEX 47452-A-11,EURO 5,3,0,
FORD MEX 47452-A-11,EURO 5,4,0,
FORD MEX 47452-A-11,EURO 5,5,0,
FORD MEX 47452-A-11,EURO 5,6,0,
FORD MEX 47452-A-11,EURO 5,7,0,
FORD MEX 47452-A-11,EURO 5,8,0,
FORD MEX 47452-A-11,EURO 5,9,0,
FORD MEX 47452-A-11,EURO 5,10,0,
FORD MEX 47452-A-11,EURO 5,11,0,
FORD MEX 47452-A-11,EURO 5,12,0,
HYUNDAI MEX  47414-A-11,EURO 4,1,4579,1112.697
HYUNDAI MEX  47414-A-11,EURO 4,2,0,
HYUNDAI MEX  47414-A-11,EURO 4,3,0,
HYUNDAI MEX  47414-A-11,EURO 4,4,0,
HYUNDAI MEX  47414-A-11,EURO 4,5,0,
HYUNDAI MEX  47414-A-11,EURO 4,6,0,
HYUNDAI MEX  47414-A-11,EURO 4,7,0,
HYUNDAI MEX  47414-A-11,EURO 4,8,0,
HYUNDAI MEX  47414-A-11,EURO 4,9,0,
HYUNDAI MEX  47414-A-11,EURO 4,10,0,
HYUNDAI MEX  47414-A-11,EURO 4,11,0,
HYUNDAI MEX  47414-A-11,EURO 4,12,0,
HYUNDAI MEX  47413-A-11,EURO 4,1,6522,1584.846
HYUNDAI MEX  47413-A-11,EURO 4,2,0,
HYUNDAI MEX  47413-A-11,EURO 4,3,0,
HYUNDAI MEX  47413-A-11,EURO 4,4,0,
HYUNDAI MEX  47413-A-11,EURO 4,5,0,
HYUNDAI MEX  47413-A-11,EURO 4,6,0,
HYUNDAI MEX  47413-A-11,EURO 4,7,0,
HYUNDAI MEX  47413-A-11,EURO 4,8,0,
HYUNDAI MEX  47413-A-11,EURO 4,9,0,
HYUNDAI MEX  47413-A-11,EURO 4,10,0,
HYUNDAI MEX  47413-A-11,EURO 4,11,0,
HYUNDAI MEX  47413-A-11,EURO 4,12,0,
HYUNDAI MEX  47412-A-11,EURO 4,1,6920,1681.56
HYUNDAI MEX  47412-A-11,EURO 4,2,0,
HYUNDAI MEX  47412-A-11,EURO 4,3,0,
HYUNDAI MEX  47412-A-11,EURO 4,4,0,
HYUNDAI MEX  47412-A-11,EURO 4,5,0,
HYUNDAI MEX  47412-A-11,EURO 4,6,0,
HYUNDAI MEX  47412-A-11,EURO 4,7,0,
HYUNDAI MEX  47412-A-11,EURO 4,8,0,
HYUNDAI MEX  47412-A-11,EURO 4,9,0,
HYUNDAI MEX  47412-A-11,EURO 4,10,0,
HYUNDAI MEX  47412-A-11,EURO 4,11,0,
HYUNDAI MEX  47412-A-11,EURO 4,12,0,
HYUNDAI MEX  47415-A-11,EURO 4,1,9951,2418.093
HYUNDAI MEX  47415-A-11,EURO 4,2,0,
HYUNDAI MEX  47415-A-11,EURO 4,3,0,
HYUNDAI MEX  47415-A-11,EURO 4,4,0,
HYUNDAI MEX  47415-A-11,EURO 4,5,0,
HYUNDAI MEX  47415-A-11,EURO 4,6,0,
HYUNDAI MEX  47415-A-11,EURO 4,7,0,
HYUNDAI MEX  47415-A-11,EURO 4,8,0,
HYUNDAI MEX  47415-A-11,EURO 4,9,0,
HYUNDAI MEX  47415-A-11,EURO 4,10,0,
HYUNDAI MEX  47415-A-11,EURO 4,11,0,
HYUNDAI MEX  47415-A-11,EURO 4,12,0,
HYUNDAI MEX  47996-A-11,EURO 4,1,6920,1681.56
HYUNDAI MEX  47996-A-11,EURO 4,2,0,
HYUNDAI MEX  47996-A-11,EURO 4,3,0,
HYUNDAI MEX  47996-A-11,EURO 4,4,0,
HYUNDAI MEX  47996-A-11,EURO 4,5,0,
HYUNDAI MEX  47996-A-11,EURO 4,6,0,
HYUNDAI MEX  47996-A-11,EURO 4,7,0,
HYUNDAI MEX  47996-A-11,EURO 4,8,0,
HYUNDAI MEX  47996-A-11,EURO 4,9,0,
HYUNDAI MEX  47996-A-11,EURO 4,10,0,
HYUNDAI MEX  47996-A-11,EURO 4,11,0,
HYUNDAI MEX  47996-A-11,EURO 4,12,0,
HYUNDAI MEX  47997-A-11,EURO 4,1,6522,1584.846
HYUNDAI MEX  47997-A-11,EURO 4,2,0,
HYUNDAI MEX  47997-A-11,EURO 4,3,0,
HYUNDAI MEX  47997-A-11,EURO 4,4,0,
HYUNDAI MEX  47997-A-11,EURO 4,5,0,
HYUNDAI MEX  47997-A-11,EURO 4,6,0,
HYUNDAI MEX  47997-A-11,EURO 4,7,0,
HYUNDAI MEX  47997-A-11,EURO 4,8,0,
HYUNDAI MEX  47997-A-11,EURO 4,9,0,
HYUNDAI MEX  47997-A-11,EURO 4,10,0,
HYUNDAI MEX  47997-A-11,EURO 4,11,0,
HYUNDAI MEX  47997-A-11,EURO 4,12,0,
FORD MEX 47999-A-11,EURO 5,1,6789,1269.543
FORD MEX 47999-A-11,EURO 5,2,0,
FORD MEX 47999-A-11,EURO 5,3,0,
FORD MEX 47999-A-11,EURO 5,4,0,
FORD MEX 47999-A-11,EURO 5,5,0,
FORD MEX 47999-A-11,EURO 5,6,0,
FORD MEX 47999-A-11,EURO 5,7,0,
FORD MEX 47999-A-11,EURO 5,8,0,
FORD MEX 47999-A-11,EURO 5,9,0,
FORD MEX 47999-A-11,EURO 5,10,0,
FORD MEX 47999-A-11,EURO 5,11,0,
FORD MEX 47999-A-11,EURO 5,12,0,
FORD MEX 47998-A-11,EURO 5,1,8920,1668.04
FORD MEX 47998-A-11,EURO 5,2,0,
FORD MEX 47998-A-11,EURO 5,3,0,
FORD MEX 47998-A-11,EURO 5,4,0,
FORD MEX 47998-A-11,EURO 5,5,0,
FORD MEX 47998-A-11,EURO 5,6,0,
FORD MEX 47998-A-11,EURO 5,7,0,
FORD MEX 47998-A-11,EURO 5,8,0,
FORD MEX 47998-A-11,EURO 5,9,0,
FORD MEX 47998-A-11,EURO 5,10,0,
FORD MEX 47998-A-11,EURO 5,11,0,
FORD MEX 47998-A-11,EURO 5,12,0,
FORD MEX 48370-A-11,EURO 5,1,4450,832.15
FORD MEX 48370-A-11,EURO 5,2,0,
FORD MEX 48370-A-11,EURO 5,3,0,
FORD MEX 48370-A-11,EURO 5,4,0,
FORD MEX 48370-A-11,EURO 5,5,0,
FORD MEX 48370-A-11,EURO 5,6,0,
FORD MEX 48370-A-11,EURO 5,7,0,
FORD MEX 48370-A-11,EURO 5,8,0,
FORD MEX 48370-A-11,EURO 5,9,0,
FORD MEX 48370-A-11,EURO 5,10,0,
FORD MEX 48370-A-11,EURO 5,11,0,
FORD MEX 48370-A-11,EURO 5,12,0,
FORD MEX 48371-A-11,EURO 5,1,10179,1903.473
FORD MEX 48371-A-11,EURO 5,2,0,
FORD MEX 48371-A-11,EURO 5,3,0,
FORD MEX 48371-A-11,EURO 5,4,0,
FORD MEX 48371-A-11,EURO 5,5,0,
FORD MEX 48371-A-11,EURO 5,6,0,
FORD MEX 48371-A-11,EURO 5,7,0,
FORD MEX 48371-A-11,EURO 5,8,0,
FORD MEX 48371-A-11,EURO 5,9,0,
FORD MEX 48371-A-11,EURO 5,10,0,
FORD MEX 48371-A-11,EURO 5,11,0,
FORD MEX 48371-A-11,EURO 5,12,0,
HYUNDAI MEX  48528-A-11,EURO 4,1,5938,1442.934
HYUNDAI MEX  48528-A-11,EURO 4,2,0,
HYUNDAI MEX  48528-A-11,EURO 4,3,0,
HYUNDAI MEX  48528-A-11,EURO 4,4,0,
HYUNDAI MEX  48528-A-11,EURO 4,5,0,
HYUNDAI MEX  48528-A-11,EURO 4,6,0,
HYUNDAI MEX  48528-A-11,EURO 4,7,0,
HYUNDAI MEX  48528-A-11,EURO 4,8,0,
HYUNDAI MEX  48528-A-11,EURO 4,9,0,
HYUNDAI MEX  48528-A-11,EURO 4,10,0,
HYUNDAI MEX  48528-A-11,EURO 4,11,0,
HYUNDAI MEX  48528-A-11,EURO 4,12,0,
HYUNDAI MEX  48527-A-11,EURO 4,1,4790,1163.97
HYUNDAI MEX  48527-A-11,EURO 4,2,0,
HYUNDAI MEX  48527-A-11,EURO 4,3,0,
HYUNDAI MEX  48527-A-11,EURO 4,4,0,
HYUNDAI MEX  48527-A-11,EURO 4,5,0,
HYUNDAI MEX  48527-A-11,EURO 4,6,0,
HYUNDAI MEX  48527-A-11,EURO 4,7,0,
HYUNDAI MEX  48527-A-11,EURO 4,8,0,
HYUNDAI MEX  48527-A-11,EURO 4,9,0,
HYUNDAI MEX  48527-A-11,EURO 4,10,0,
HYUNDAI MEX  48527-A-11,EURO 4,11,0,
HYUNDAI MEX  48527-A-11,EURO 4,12,0,
FORD MEX 48525-A-11,EURO 5,1,8300,1552.1
FORD MEX 48525-A-11,EURO 5,2,0,
FORD MEX 48525-A-11,EURO 5,3,0,
FORD MEX 48525-A-11,EURO 5,4,0,
FORD MEX 48525-A-11,EURO 5,5,0,
FORD MEX 48525-A-11,EURO 5,6,0,
FORD MEX 48525-A-11,EURO 5,7,0,
FORD MEX 48525-A-11,EURO 5,8,0,
FORD MEX 48525-A-11,EURO 5,9,0,
FORD MEX 48525-A-11,EURO 5,10,0,
FORD MEX 48525-A-11,EURO 5,11,0,
FORD MEX 48525-A-11,EURO 5,12,0,
FORD MEX 48526-A-11,EURO 5,1,6208,1160.896
FORD MEX 48526-A-11,EURO 5,2,0,
FORD MEX 48526-A-11,EURO 5,3,0,
FORD MEX 48526-A-11,EURO 5,4,0,
FORD MEX 48526-A-11,EURO 5,5,0,
FORD MEX 48526-A-11,EURO 5,6,0,
FORD MEX 48526-A-11,EURO 5,7,0,
FORD MEX 48526-A-11,EURO 5,8,0,
FORD MEX 48526-A-11,EURO 5,9,0,
FORD MEX 48526-A-11,EURO 5,10,0,
FORD MEX 48526-A-11,EURO 5,11,0,
FORD MEX 48526-A-11,EURO 5,12,0,
FORD MEX 48581-A-11,EURO 5,1,4500,841.5
FORD MEX 48581-A-11,EURO 5,2,0,
FORD MEX 48581-A-11,EURO 5,3,0,
FORD MEX 48581-A-11,EURO 5,4,0,
FORD MEX 48581-A-11,EURO 5,5,0,
FORD MEX 48581-A-11,EURO 5,6,0,
FORD MEX 48581-A-11,EURO 5,7,0,
FORD MEX 48581-A-11,EURO 5,8,0,
FORD MEX 48581-A-11,EURO 5,9,0,
FORD MEX 48581-A-11,EURO 5,10,0,
FORD MEX 48581-A-11,EURO 5,11,0,
FORD MEX 48581-A-11,EURO 5,12,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,1,4422,826.914
VEHICULE FORD MLE 48597-A-11,EURO 5,2,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,3,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,4,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,5,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,6,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,7,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,8,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,9,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,10,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,11,0,
VEHICULE FORD MLE 48597-A-11,EURO 5,12,0,
HYUNDAI MEX  48734-A-11,EURO 4,1,6833,1660.419
HYUNDAI MEX  48734-A-11,EURO 4,2,0,
HYUNDAI MEX  48734-A-11,EURO 4,3,0,
HYUNDAI MEX  48734-A-11,EURO 4,4,0,
HYUNDAI MEX  48734-A-11,EURO 4,5,0,
HYUNDAI MEX  48734-A-11,EURO 4,6,0,
HYUNDAI MEX  48734-A-11,EURO 4,7,0,
HYUNDAI MEX  48734-A-11,EURO 4,8,0,
HYUNDAI MEX  48734-A-11,EURO 4,9,0,
HYUNDAI MEX  48734-A-11,EURO 4,10,0,
HYUNDAI MEX  48734-A-11,EURO 4,11,0,
HYUNDAI MEX  48734-A-11,EURO 4,12,0,
HYUNDAI MEX  49082-A-11,EURO 4,1,4422,1074.546
HYUNDAI MEX  49082-A-11,EURO 4,2,0,
HYUNDAI MEX  49082-A-11,EURO 4,3,0,
HYUNDAI MEX  49082-A-11,EURO 4,4,0,
HYUNDAI MEX  49082-A-11,EURO 4,5,0,
HYUNDAI MEX  49082-A-11,EURO 4,6,0,
HYUNDAI MEX  49082-A-11,EURO 4,7,0,
HYUNDAI MEX  49082-A-11,EURO 4,8,0,
HYUNDAI MEX  49082-A-11,EURO 4,9,0,
HYUNDAI MEX  49082-A-11,EURO 4,10,0,
HYUNDAI MEX  49082-A-11,EURO 4,11,0,
HYUNDAI MEX  49082-A-11,EURO 4,12,0,
HYUNDAI MEX  49061-A-11,EURO 4,1,5038,1224.234
HYUNDAI MEX  49061-A-11,EURO 4,2,0,
HYUNDAI MEX  49061-A-11,EURO 4,3,0,
HYUNDAI MEX  49061-A-11,EURO 4,4,0,
HYUNDAI MEX  49061-A-11,EURO 4,5,0,
HYUNDAI MEX  49061-A-11,EURO 4,6,0,
HYUNDAI MEX  49061-A-11,EURO 4,7,0,
HYUNDAI MEX  49061-A-11,EURO 4,8,0,
HYUNDAI MEX  49061-A-11,EURO 4,9,0,
HYUNDAI MEX  49061-A-11,EURO 4,10,0,
HYUNDAI MEX  49061-A-11,EURO 4,11,0,
HYUNDAI MEX  49061-A-11,EURO 4,12,0,
FORD MEX 49595-A-11,EURO 5,1,4370,817.19
FORD MEX 49595-A-11,EURO 5,2,0,
FORD MEX 49595-A-11,EURO 5,3,0,
FORD MEX 49595-A-11,EURO 5,4,0,
FORD MEX 49595-A-11,EURO 5,5,0,
FORD MEX 49595-A-11,EURO 5,6,0,
FORD MEX 49595-A-11,EURO 5,7,0,
FORD MEX 49595-A-11,EURO 5,8,0,
FORD MEX 49595-A-11,EURO 5,9,0,
FORD MEX 49595-A-11,EURO 5,10,0,
FORD MEX 49595-A-11,EURO 5,11,0,
FORD MEX 49595-A-11,EURO 5,12,0,
HYUNDAI MEX  49679-A-11,EURO 4,1,8230,1999.89
HYUNDAI MEX  49679-A-11,EURO 4,2,0,
HYUNDAI MEX  49679-A-11,EURO 4,3,0,
HYUNDAI MEX  49679-A-11,EURO 4,4,0,
HYUNDAI MEX  49679-A-11,EURO 4,5,0,
HYUNDAI MEX  49679-A-11,EURO 4,6,0,
HYUNDAI MEX  49679-A-11,EURO 4,7,0,
HYUNDAI MEX  49679-A-11,EURO 4,8,0,
HYUNDAI MEX  49679-A-11,EURO 4,9,0,
HYUNDAI MEX  49679-A-11,EURO 4,10,0,
HYUNDAI MEX  49679-A-11,EURO 4,11,0,
HYUNDAI MEX  49679-A-11,EURO 4,12,0,
HYUNDAI MEX  49682-A-11,EURO 4,1,4726,1148.418
HYUNDAI MEX  49682-A-11,EURO 4,2,0,
HYUNDAI MEX  49682-A-11,EURO 4,3,0,
HYUNDAI MEX  49682-A-11,EURO 4,4,0,
HYUNDAI MEX  49682-A-11,EURO 4,5,0,
HYUNDAI MEX  49682-A-11,EURO 4,6,0,
HYUNDAI MEX  49682-A-11,EURO 4,7,0,
HYUNDAI MEX  49682-A-11,EURO 4,8,0,
HYUNDAI MEX  49682-A-11,EURO 4,9,0,
HYUNDAI MEX  49682-A-11,EURO 4,10,0,
HYUNDAI MEX  49682-A-11,EURO 4,11,0,
HYUNDAI MEX  49682-A-11,EURO 4,12,0,
HYUNDAI MEX  49681-A-11,EURO 4,1,6551,1591.893
HYUNDAI MEX  49681-A-11,EURO 4,2,0,
HYUNDAI MEX  49681-A-11,EURO 4,3,0,
HYUNDAI MEX  49681-A-11,EURO 4,4,0,
HYUNDAI MEX  49681-A-11,EURO 4,5,0,
HYUNDAI MEX  49681-A-11,EURO 4,6,0,
HYUNDAI MEX  49681-A-11,EURO 4,7,0,
HYUNDAI MEX  49681-A-11,EURO 4,8,0,
HYUNDAI MEX  49681-A-11,EURO 4,9,0,
HYUNDAI MEX  49681-A-11,EURO 4,10,0,
HYUNDAI MEX  49681-A-11,EURO 4,11,0,
HYUNDAI MEX  49681-A-11,EURO 4,12,0,
HYUNDAI MEX  49680-A-11,EURO 4,1,7021,1706.103
HYUNDAI MEX  49680-A-11,EURO 4,2,0,
HYUNDAI MEX  49680-A-11,EURO 4,3,0,
HYUNDAI MEX  49680-A-11,EURO 4,4,0,
HYUNDAI MEX  49680-A-11,EURO 4,5,0,
HYUNDAI MEX  49680-A-11,EURO 4,6,0,
HYUNDAI MEX  49680-A-11,EURO 4,7,0,
HYUNDAI MEX  49680-A-11,EURO 4,8,0,
HYUNDAI MEX  49680-A-11,EURO 4,9,0,
HYUNDAI MEX  49680-A-11,EURO 4,10,0,
HYUNDAI MEX  49680-A-11,EURO 4,11,0,
HYUNDAI MEX  49680-A-11,EURO 4,12,0,
HYUNDAI MEX  49719-A-11,EURO 4,1,8230,1999.89
HYUNDAI MEX  49719-A-11,EURO 4,2,0,
HYUNDAI MEX  49719-A-11,EURO 4,3,0,
HYUNDAI MEX  49719-A-11,EURO 4,4,0,
HYUNDAI MEX  49719-A-11,EURO 4,5,0,
HYUNDAI MEX  49719-A-11,EURO 4,6,0,
HYUNDAI MEX  49719-A-11,EURO 4,7,0,
