Véhicule,Norme EURO,Mois,KM parcourus,Émissions CO2 (kg)
VOLKSWAGEN MEX 58034-A-11,EURO 6,11,0,
VOLKSWAGEN MEX 58034-A-11,EURO 6,12,0,
DACIA MEX 58376-A-11,EURO 6,1,5670,890.19
DACIA MEX 58376-A-11,EURO 6,2,0,
DACIA MEX 58376-A-11,EURO 6,3,0,
DACIA MEX 58376-A-11,EURO 6,4,0,
DACIA MEX 58376-A-11,EURO 6,5,0,
DACIA MEX 58376-A-11,EURO 6,6,0,
DACIA MEX 58376-A-11,EURO 6,7,0,
DACIA MEX 58376-A-11,EURO 6,8,0,
DACIA MEX 58376-A-11,EURO 6,9,0,
DACIA MEX 58376-A-11,EURO 6,10,0,
DACIA MEX 58376-A-11,EURO 6,11,0,
DACIA MEX 58376-A-11,EURO 6,12,0,
BMW MEX 40263-A-11,EURO 6,1,6951,1195.572
BMW MEX 40263-A-11,EURO 6,2,0,
BMW MEX 40263-A-11,EURO 6,3,0,
BMW MEX 40263-A-11,EURO 6,4,0,
BMW MEX 40263-A-11,EURO 6,5,0,
BMW MEX 40263-A-11,EURO 6,6,0,
BMW MEX 40263-A-11,EURO 6,7,0,
BMW MEX 40263-A-11,EURO 6,8,0,
BMW MEX 40263-A-11,EURO 6,9,0,
BMW MEX 40263-A-11,EURO 6,10,0,
BMW MEX 40263-A-11,EURO 6,11,0,
BMW MEX 40263-A-11,EURO 6,12,0,
HYUNDAI MEX  61912-A-11,EURO 6,1,6224,678.416
HYUNDAI MEX  61912-A-11,EURO 6,2,0,
HYUNDAI MEX  61912-A-11,EURO 6,3,0,
HYUNDAI MEX  61912-A-11,EURO 6,4,0,
HYUNDAI MEX  61912-A-11,EURO 6,5,0,
HYUNDAI MEX  61912-A-11,EURO 6,6,0,
HYUNDAI MEX  61912-A-11,EURO 6,7,0,
HYUNDAI MEX  61912-A-11,EURO 6,8,0,
HYUNDAI MEX  61912-A-11,EURO 6,9,0,
HYUNDAI MEX  61912-A-11,EURO 6,10,0,
HYUNDAI MEX  61912-A-11,EURO 6,11,0,
HYUNDAI MEX  61912-A-11,EURO 6,12,0,
RENAULT MEX 64504-A-11,EURO 6,1,8920,1159.6
RENAULT MEX 64504-A-11,EURO 6,2,0,
RENAULT MEX 64504-A-11,EURO 6,3,0,
RENAULT MEX 64504-A-11,EURO 6,4,0,
RENAULT MEX 64504-A-11,EURO 6,5,0,
RENAULT MEX 64504-A-11,EURO 6,6,0,
RENAULT MEX 64504-A-11,EURO 6,7,0,
RENAULT MEX 64504-A-11,EURO 6,8,0,
RENAULT MEX 64504-A-11,EURO 6,9,0,
RENAULT MEX 64504-A-11,EURO 6,10,0,
RENAULT MEX 64504-A-11,EURO 6,11,0,
RENAULT MEX 64504-A-11,EURO 6,12,0,
HYUNDAI MLE  23388-A-72,EURO 4,1,6720,1632.96
HYUNDAI MLE  23388-A-72,EURO 4,2,0,
HYUNDAI MLE  23388-A-72,EURO 4,3,0,
HYUNDAI MLE  23388-A-72,EURO 4,4,0,
HYUNDAI MLE  23388-A-72,EURO 4,5,0,
HYUNDAI MLE  23388-A-72,EURO 4,6,0,
HYUNDAI MLE  23388-A-72,EURO 4,7,0,
HYUNDAI MLE  23388-A-72,EURO 4,8,0,
HYUNDAI MLE  23388-A-72,EURO 4,9,0,
HYUNDAI MLE  23388-A-72,EURO 4,10,0,
HYUNDAI MLE  23388-A-72,EURO 4,11,0,
HYUNDAI MLE  23388-A-72,EURO 4,12,0,
HYUNDAI MEX  26313-A-11,EURO 4,1,6255,1519.965
HYUNDAI MEX  26313-A-11,EURO 4,2,0,
HYUNDAI MEX  26313-A-11,EURO 4,3,0,
HYUNDAI MEX  26313-A-11,EURO 4,4,0,
HYUNDAI MEX  26313-A-11,EURO 4,5,0,
HYUNDAI MEX  26313-A-11,EURO 4,6,0,
HYUNDAI MEX  26313-A-11,EURO 4,7,0,
HYUNDAI MEX  26313-A-11,EURO 4,8,0,
HYUNDAI MEX  26313-A-11,EURO 4,9,0,
HYUNDAI MEX  26313-A-11,EURO 4,10,0,
HYUNDAI MEX  26313-A-11,EURO 4,11,0,
HYUNDAI MEX  26313-A-11,EURO 4,12,0,
HYUNDAI ME  26314-A-11,EURO 4,1,6833,1660.419
HYUNDAI ME  26314-A-11,EURO 4,2,0,
HYUNDAI ME  26314-A-11,EURO 4,3,0,
HYUNDAI ME  26314-A-11,EURO 4,4,0,
HYUNDAI ME  26314-A-11,EURO 4,5,0,
HYUNDAI ME  26314-A-11,EURO 4,6,0,
HYUNDAI ME  26314-A-11,EURO 4,7,0,
HYUNDAI ME  26314-A-11,EURO 4,8,0,
HYUNDAI ME  26314-A-11,EURO 4,9,0,
HYUNDAI ME  26314-A-11,EURO 4,10,0,
HYUNDAI ME  26314-A-11,EURO 4,11,0,
HYUNDAI ME  26314-A-11,EURO 4,12,0,
HYUNDAI MEX  26647-A-11,EURO 4,1,4422,1074.546
HYUNDAI MEX  26647-A-11,EURO 4,2,0,
HYUNDAI MEX  26647-A-11,EURO 4,3,0,
HYUNDAI MEX  26647-A-11,EURO 4,4,0,
HYUNDAI MEX  26647-A-11,EURO 4,5,0,
HYUNDAI MEX  26647-A-11,EURO 4,6,0,
HYUNDAI MEX  26647-A-11,EURO 4,7,0,
HYUNDAI MEX  26647-A-11,EURO 4,8,0,
HYUNDAI MEX  26647-A-11,EURO 4,9,0,
HYUNDAI MEX  26647-A-11,EURO 4,10,0,
HYUNDAI MEX  26647-A-11,EURO 4,11,0,
HYUNDAI MEX  26647-A-11,EURO 4,12,0,
HYUNDAI MEX  31977-A-11,EURO 4,1,5038,1224.234
HYUNDAI MEX  31977-A-11,EURO 4,2,0,
HYUNDAI MEX  31977-A-11,EURO 4,3,0,
HYUNDAI MEX  31977-A-11,EURO 4,4,0,
HYUNDAI MEX  31977-A-11,EURO 4,5,0,
HYUNDAI MEX  31977-A-11,EURO 4,6,0,
HYUNDAI MEX  31977-A-11,EURO 4,7,0,
HYUNDAI MEX  31977-A-11,EURO 4,8,0,
HYUNDAI MEX  31977-A-11,EURO 4,9,0,
HYUNDAI MEX  31977-A-11,EURO 4,10,0,
HYUNDAI MEX  31977-A-11,EURO 4,11,0,
HYUNDAI MEX  31977-A-11,EURO 4,12,0,
HYUNDAI MEX  31978-A-11,EURO 4,1,4370,1061.91
HYUNDAI MEX  31978-A-11,EURO 4,2,0,
HYUNDAI MEX  31978-A-11,EURO 4,3,0,
HYUNDAI MEX  31978-A-11,EURO 4,4,0,
HYUNDAI MEX  31978-A-11,EURO 4,5,0,
HYUNDAI MEX  31978-A-11,EURO 4,6,0,
HYUNDAI MEX  31978-A-11,EURO 4,7,0,
HYUNDAI MEX  31978-A-11,EURO 4,8,0,
HYUNDAI MEX  31978-A-11,EURO 4,9,0,
